Nodes 
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs
0,-57.165547621585134,10.0,,0,0,0;4
1,-33.16554762158515,20.0,,0,0,3;12;16
2,-9.165547621585148,10.0,,0,0,11;15
3,-33.16554762158513,10.0,,0,0,7;8;16;19;23
4,-27.16554762158515,10.0,,0,0,8;9;17;24
5,-27.16554762158515,17.500000000000007,,0,0,12;13;17;23
6,-45.16554762158512,15.000000000000005,,0,0,1;2;18;21
7,-39.16554762158513,10.000000000000002,,0,0,6;7;18;20
8,-39.16554762158512,17.500000000000007,,0,0,2;3;19;20
9,-45.16554762158513,10.0,,0,0,5;6;21;27
10,-21.16554762158516,10.000000000000002,,0,0,9;10;22;28
11,-21.16554762158516,15.000000000000005,,0,0,13;14;22;24
12,-51.165547621585134,10.0,,0,0,4;5;25
13,-51.165547621585134,12.500000000000002,,0,0,0;1;25;27
14,-15.165547621585125,9.999999999999998,,0,0,10;11;26
15,-15.165547621585125,12.5,,0,0,14;15;26;28
Beams
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,13,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[-3.55029586e-01  1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15  3.84615385e-01]
1,13,6,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[-3.55029586e-01  1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15  3.84615385e-01]
2,6,8,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[-3.55029586e-01  1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15  3.84615385e-01]
3,8,1,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[-3.55029586e-01  1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15  3.84615385e-01]
4,0,12,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
5,12,9,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
6,9,7,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
7,7,3,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
8,3,4,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
9,4,10,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
10,10,14,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
11,14,2,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
12,1,5,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[ 3.55029586e-01 -1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15 -3.84615385e-01]
13,5,11,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[ 3.55029586e-01 -1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15 -3.84615385e-01]
14,11,15,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[ 3.55029586e-01 -1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15 -3.84615385e-01]
15,15,2,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[ 3.55029586e-01 -1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15 -3.84615385e-01]
16,3,1,W Shapes:W12X19,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
17,4,5,W Shapes:W12X19,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
18,6,7,W Shapes:W12X19,Steel ASTM A992,[-0.          0.76822128  0.        ],[0.49180328 0.         0.59016393],[ 0.76822128  0.         -0.6401844 ]
19,8,3,W Shapes:W12X19,Steel ASTM A992,[-0.          0.62469505  0.        ],[0.48780488 0.         0.3902439 ],[ 0.62469505  0.         -0.78086881]
