Nodes 
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs
0,-33.165547621585134,20.0,,0,0,0;16;17
1,-9.165547621585134,10.0,,0,0,3;28
2,-39.16554762158516,13.749999999999936,,0,0,4;23;24
3,-39.16554762158516,17.499999999999986,,0,0,4;6;11;15;16
4,-21.165547621585056,12.499999999999947,,0,0,5;10;18;26;27
5,-21.165547621585056,14.999999999999968,,0,0,1;2;5
6,-33.16554762158511,14.999999999999927,,0,0,6;7;17;24;25
7,-27.165547621585098,17.499999999999986,,0,0,0;1;7;9;18
8,-45.165547621585205,12.499999999999947,,0,0,8;11;19;22;23
9,-45.165547621585205,14.999999999999968,,0,0,8;14;15
10,-27.165547621585095,13.749999999999936,,0,0,9;25;26
11,-15.165547621585034,12.499999999999947,,0,0,2;3;10;12
12,-15.165547621585008,11.249999999999956,,0,0,12;27;28
13,-57.165547621585134,10.0,,0,0,13;21
14,-51.16554762158523,12.499999999999945,,0,0,13;14;19;20
15,-51.16554762158526,11.249999999999954,,0,0,20;21;22
Beams
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,7,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[ 3.55029586e-01 -1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15 -3.84615385e-01]
1,7,5,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[ 3.55029586e-01 -1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15 -3.84615385e-01]
2,5,11,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[ 3.55029586e-01 -1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15 -3.84615385e-01]
3,11,1,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15 9.23076923e-01 0.00000000e+00],[ 3.55029586e-01 -1.15620859e-15  8.52071006e-01],[ 9.23076923e-01 -3.00614234e-15 -3.84615385e-01]
4,2,3,W Shapes:W12X19,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
5,4,5,W Shapes:W12X19,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
6,3,6,W Shapes:W12X19,Steel ASTM A992,[-0.          0.92307692  0.        ],[0.35502959 0.         0.85207101],[ 0.92307692  0.         -0.38461538]
7,6,7,W Shapes:W12X19,Steel ASTM A992,[-0.          0.92307692  0.        ],[-0.35502959 -0.          0.85207101],[0.92307692 0.         0.38461538]
8,8,9,W Shapes:W12X19,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
9,10,7,W Shapes:W12X19,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
10,4,11,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
11,8,3,W Shapes:W12X19,Steel ASTM A992,[-0.          0.76822128  0.        ],[-0.49180328 -0.          0.59016393],[0.76822128 0.         0.6401844 ]
12,12,11,W Shapes:W12X19,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
13,13,14,W Shapes:W12X19,Steel ASTM A992,[-0.          0.92307692  0.        ],[-0.35502959 -0.          0.85207101],[0.92307692 0.         0.38461538]
14,14,9,W Shapes:W12X19,Steel ASTM A992,[-0.          0.92307692  0.        ],[-0.35502959 -0.          0.85207101],[0.92307692 0.         0.38461538]
15,9,3,W Shapes:W12X19,Steel ASTM A992,[-0.          0.92307692  0.        ],[-0.35502959 -0.          0.85207101],[0.92307692 0.         0.38461538]
16,3,0,W Shapes:W12X19,Steel ASTM A992,[-0.          0.92307692  0.        ],[-0.35502959 -0.          0.85207101],[0.92307692 0.         0.38461538]
17,6,0,W Shapes:W12X19,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
18,7,4,W Shapes:W12X19,Steel ASTM A992,[-0.          0.76822128  0.        ],[0.49180328 0.         0.59016393],[ 0.76822128  0.         -0.6401844 ]
19,14,8,W Shapes:W12X19,Steel ASTM A992,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
20,15,14,W Shapes:W12X19,Steel ASTM A992,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
