Nodes ,,,,,,,
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs,
0,-60.30420342,10,pin,0,-2242,0;8,
1,-8.083945414,10,roller_no_ydisp,0,-2242,7;15,
2,-34.19407442,22.5,,0,-3674,11;12;20,
3,-34.19407442,10,,0,0,3;4;16;19;20,
4,-27.66654217,19.375,,0,-3434,12;13;16;23,
5,-27.66654217,10,,0,0,4;5;17;23,
6,-21.13900991,16.25,,0,-3434,13;14;17;24,
7,-47.24913892,16.25,,0,-3434,9;10;18;22,
8,-40.72160667,10,,0,0,2;3;18;21,
9,-40.72160667,19.375,,0,-3434,10;11;19;21,
10,-47.24913892,10,,0,0,1;2;22;27,
11,-21.13900991,10,,0,0,5;6;24;28,
12,-53.77667117,10,,0,0,0;1;25,
13,-53.77667117,13.125,,0,-3434,8;9;25;27,
14,-14.61147766,10,,0,0,6;7;26,
15,-14.61147766,13.125,,0,-3434,14;15;26;28,
Beams,,,,,,,
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,12,W Shapes:W12X26,Steel ASTM A992,,,
1,12,10,W Shapes:W12X26,Steel ASTM A992,,,
2,10,8,W Shapes:W12X26,Steel ASTM A992,,,
3,8,3,W Shapes:W12X26,Steel ASTM A992,,,
4,3,5,W Shapes:W12X26,Steel ASTM A992,,,
5,5,11,W Shapes:W12X26,Steel ASTM A992,,,
6,11,14,W Shapes:W12X26,Steel ASTM A992,,,
7,14,1,W Shapes:W12X26,Steel ASTM A992,,,
8,0,13,W Shapes:W12X26,Steel ASTM A992,,,
9,13,7,W Shapes:W12X26,Steel ASTM A992,,,
10,7,9,W Shapes:W12X26,Steel ASTM A992,,,
11,9,2,W Shapes:W12X26,Steel ASTM A992,,,
12,2,4,W Shapes:W12X26,Steel ASTM A992,,,
13,4,6,W Shapes:W12X26,Steel ASTM A992,,,
14,6,15,W Shapes:W12X26,Steel ASTM A992,,,
15,15,1,W Shapes:W12X26,Steel ASTM A992,,,
16,3,4,W Shapes:W12X26,Steel ASTM A992,,,
17,5,6,W Shapes:W12X26,Steel ASTM A992,,,
18,7,8,W Shapes:W12X26,Steel ASTM A992,,,
19,9,3,W Shapes:W12X26,Steel ASTM A992,,,
20,3,2,W Shapes:W12X26,Steel ASTM A992,,,
21,8,9,W Shapes:W12X26,Steel ASTM A992,,,
22,10,7,W Shapes:W12X26,Steel ASTM A992,,,
23,5,4,W Shapes:W12X26,Steel ASTM A992,,,
24,11,6,W Shapes:W12X26,Steel ASTM A992,,,
25,12,13,W Shapes:W12X26,Steel ASTM A992,,,
26,14,15,W Shapes:W12X26,Steel ASTM A992,,,
27,13,10,W Shapes:W12X26,Steel ASTM A992,,,
28,11,15,W Shapes:W12X26,Steel ASTM A992,,,
