Nodes ,,,,,,,
Index,Xcoord (m),Ycoord (m),Constraint,Xforce (kN),Yforce (kN),ZForce(kN-m),BeamIdxs 
0,0,0,pin,0,0,0,0;1
1,4,0,,0,0,0,1;2;4;5
2,8,0,,0,0,0,5;6;8;9
3,12,0,roller_no_ydisp,0,0,0,9;10
4,10,1.1547005,,0,-3,0,7;8;10
5,6,3.4641016,,0,-2,0,3;4;6;7
6,2,1.1547005,,0,-3,0,0;2;3
Bars,,,,,,,
Index,Start Node,End Node,Section Type,Material,,,
0,0,6,W Shapes:W12X26,Steel ASTM A36,,,
1,0,1,W Shapes:W12X26,Steel ASTM A36,,,
2,1,6,W Shapes:W12X26,Steel ASTM A36,,,
3,5,6,W Shapes:W12X26,Steel ASTM A36,,,
4,1,5,W Shapes:W12X26,Steel ASTM A36,,,
5,1,2,W Shapes:W12X26,Steel ASTM A36,,,
6,2,5,W Shapes:W8X10,Steel ASTM A36,,,
7,4,5,W Shapes:W8X10,Steel ASTM A36,,,
8,2,4,W Shapes:W8X10,Steel ASTM A36,,,
9,2,3,W Shapes:W8X10,Steel ASTM A36,,,
10,3,4,W Shapes:W8X10,Steel ASTM A36,,,
